_DJI~DJ INDU AVERAGE~Index
_DJU~DJ UTIL AVERAGE~Index
_DJT~DJ TRANS AVERAGE~Index
_SPX~S&P 500 INDEX~Index
_NDX~NASDAQ 100~Index
_IXIC~NAS/NMS COMPSITE~Index
_SOXX~SEMICONDUCTOR~Index
_RUT~RUSSELL 2000 IND~Index
_NWX~NETWORK INDEX~Index
_TYX~30 Y TSY YLD NDX~Index
-IRX~13WK TSY YLD NDX~Index
_XAU~GOLD/SILVER INDX~Index
A~Agilent Technologies Inc~Electronic Instruments & Controls 
AA~ALCOA Inc~Metal Mining 
AAA~Altana AG~Biotechnology & Drugs 
AABC~Access Anytime Bancorp Inc~S&Ls/Savings Banks 
AAC~AbleAuctions.com Inc~Business Services 
AACB~Alliance Atlantis Communications Inc~Motion Pictures 
AACE~Ace Cash Express Inc~Consumer Financial Services 
AAI~AirTran Holdings, Inc~Airline 
AAII~Aaipharma Inc~Biotechnology & Drugs 
AAME~Atlantic American Corp~Insurance  (Life)
AANB~Abigail Adams National Bancorp Inc~Regional Banks 
AAON~Aaon Inc~Misc. Capital Goods 
AAP~Advance Auto Parts Inc~Retail  (Specialty)
AAPL~Apple Computer Inc~Computer Hardware 
AATK~American Access Technologies Inc~Misc. Fabricated Products 
AAUK~Anglo American PLC~Gold & Silver 
ABAX~Abaxis Inc~Biotechnology & Drugs 
ABB~ABB Ltd~Conglomerates 
ABBK~Abington Bancorp Inc~S&Ls/Savings Banks 
ABC~Amerisource-Bergen Corp~Biotechnology & Drugs 
ABCB~ABC Bancorp~Regional Banks 
ABCO~Advisory Board Co~Business Services 
ABCW~Anchor Bancorp of Wisconsin Inc~S&Ls/Savings Banks 
ABCX~American Building Control Inc~Electronic Instruments & Controls 
ABER~Aber Diamond Corp~Non-Metallic Mining 
ABFI~American Business Financial Services Inc~Consumer Financial Services 
ABFS~Arkansas Best Corp~Trucking 
ABG~Asbury Automotive Group Inc~Retail  (Specialty)
ABGX~Abgenix, Inc~Biotechnology & Drugs 
ABI~Applera Corp - Applied Biosystems~Scientific & Technical Instr. 
ABIX~Abatix Corp~Misc. Capital Goods 
ABK~AMBAC Financial Group Inc~Insurance  (Prop. & Casualty)
ABL~American Biltrite Inc~Fabricated Plastic & Rubber 
ABLE~Able Energy Inc~Oil & Gas Operations 
ABM~ABM Industries Inc~Business Services 
ABMC~American Bio Medica Corp~Scientific & Technical Instr. 
ABMD~Abiomed Inc~Medical Equipment & Supplies 
ABN~ABN AMRO Holding NV~Money Center Banks 
ABP~Abraxas Petroleum Corp~Oil & Gas Operations 
ABRI~Abrams Industries Inc~Construction Services 
ABRX~Able Laboratories Inc~Biotechnology & Drugs 
ABS~Albertson's Inc~Retail  (Grocery)
ABT~Abbott Laboratories~Major Drugs 
ABTL~Autobytel Inc~Computer Services 
ABV~Companhia de Bebidas das Americas~Beverages  (Alcoholic)
ABX~Barrick Gold Corp~Gold & Silver 
ABY~Abitibi-Consolidated Inc~Paper & Paper Products 
AC~Alliance Capital Management Holdings LP~Investment Services 
ACAI~Atlantic Coast Airlines Holdings Inc~Airline 
ACAM~Acambis PLC~Biotechnology & Drugs 
ACAP~American Physicians Capital Inc~Insurance  (Prop. & Casualty)
ACAS~American Capital Strategies Ltd~Misc. Financial Services 
ACAT~Arctic Cat Inc~Recreational Products 
ACBA~American Community Bancshares~Regional Banks 
ACD~Asconi Corp~Beverages  (Alcoholic)
ACDO~Accredo Health Inc~Healthcare Facilities 
ACE~Ace Ltd~Insurance  (Prop. & Casualty)
ACEC~Ace Comm Corp~Communications Equipment 
ACET~Aceto Corp~Chemical Manufacturing 
ACF~AmeriCredit Corp~Consumer Financial Services 
ACG~ACM Income Fund Inc~Misc. Financial Services 
ACGL~Arch Capital Group Ltd~Insurance  (Prop. & Casualty)
ACI~Arch Coal Inc~Coal 
ACL~Alcon Inc~Major Drugs 
ACLA~Aclara Biosciences Inc~Scientific & Technical Instr. 
ACLS~Axcelis Technologies Inc~Semiconductors 
ACME~ACME Communications Inc~Broadcasting & Cable TV 
ACMR~A.C. Moore Arts & Crafts Inc~Retail  (Specialty)
ACMTA~ACMAT Corp~Insurance  (Prop. & Casualty)
ACN~Accenture Ltd~Business Services 
ACO~AMCOL International Corp~Construction - Raw Materials 
ACP~American Real Estate Partners LP~Casinos & Gaming 
ACPW~Active Power Inc~Electronic Instruments & Controls 
ACR~American Retirement Corp~Real Estate Operations 
ACS~Affiliated Computer Services Inc~Computer Services 
ACSEF~ACS-Tech80 Ltd~Misc. Capital Goods 
ACTG~Acacia Research-Acacia Technologies~Semiconductors 
ACTI~ActivCard Corp~Software & Programming 
ACTL~Actel Corp~Semiconductors 
ACTT~Act Teleconferencing Inc~Communications Services 
ACTU~Actuate Corp~Software & Programming 
ACTY~Accessity Corp~Business Services 
ACU~Acme United Corp~Personal & Household Products 
ACUS~Acusphere~Biotechnology & Drugs 
ACV~Alberto-Culver Co Inc~Personal & Household Products 
ACXM~Acxiom Corp~Computer Services 
ACY~Aerocentury Corp~Rental & Leasing 
AD~Advo Inc~Advertising 
ADAM~A.D.A.M. Inc~Computer Services 
ADAT~Authentidate Holding Corp~Computer Hardware 
ADBE~Adobe Systems Inc~Software & Programming 
ADC~Agree Realty Corp~Real Estate Operations 
ADCT~ADC Telecommunications Inc~Communications Equipment 
ADEX~Ade Corp~Semiconductors 
ADG~Allied Defense Group Inc, The~Aerospace & Defense 
ADH~Allied Healthcare International Inc~Healthcare Facilities 
ADI~Analog Devices Inc~Semiconductors 
ADIC~Advanced Digital Information Corp~Computer Storage Devices 
ADL~AMDL Inc~Medical Equipment & Supplies 
ADLR~Adolor Corp~Biotechnology & Drugs 
ADM~Archer-Daniels-Midland Inc~Food Processing 
ADO~Adecco SA~Business Services 
ADP~Automatic Data Processing Inc~Business Services 
ADPI~American Dental Partners Inc~Business Services 
ADPT~Adaptec Inc~Semiconductors 
ADRX~Andrx Corp~Biotechnology & Drugs 
ADS~Alliance Data Systems Corporation~Computer Services 
ADSK~AutoDesk Inc~Software & Programming 
ADST~AdStar Inc~Business Services 
ADSX~Applied Digital Solutions Inc~Communications Equipment 
ADTN~Adtran Inc~Communications Equipment 
ADVNB~Advanta Corp~Consumer Financial Services 
ADVP~AdvancePCS~Retail  (Drugs)
ADVS~Advent Software Inc~Software & Programming 
ADX~Adams Express Co~Misc. Financial Services 
AE~Adams Resources & Energy Inc~Oil & Gas Operations 
AEC~Associated Estates Realty Corp~Real Estate Operations 
AED~Allied Domecq PLC~Beverages  (Alcoholic)
AEE~Ameren Corp~Electric Utilities 
AEG~Aegon NV~Insurance  (Life)
AEGN~AeroGen Inc~Medical Equipment & Supplies 
AEHR~Aehr Test Systems~Semiconductors 
AEIS~Advanced Energy Industries Inc~Electronic Instruments & Controls 
AEL~American Equity Investment Life Holding Co~Insurance  (Life)
AELA~Aeterna Laboratoires Inc~Biotechnology & Drugs 
AEM~Agnico-Eagle Mines Ltd~Gold & Silver 
AEN~AMC Entertainment Inc~Motion Pictures 
AEOS~American Eagle Outfitters Inc~Retail  (Apparel)
AEP~American Electric Power Co Inc~Electric Utilities 
AEPI~AEP Industries Inc~Fabricated Plastic & Rubber 
AERS~Aero Systems Engineering Inc~Construction Services 
AERTA~Advanced Environmental Recycling Technologies Inc~Constr. - Supplies & Fixtures 
AES~The AES Corp~Electric Utilities 
AESP~AESP Inc~Computer Peripherals 
AET~Aetna Inc~Insurance  (Accident & Health)
AETC~Applied Extrusion Technologies Inc~Fabricated Plastic & Rubber 
AETH~Aether Systems Inc~Software & Programming 
AEY~Addvantage Technologies Group Inc~Communications Equipment 
AF~Astoria Financial Corp~S&Ls/Savings Banks 
AFAM~Almost Family Inc~Healthcare Facilities 
AFBC~Advance Financial Bancorp~S&Ls/Savings Banks 
AFBK~Albemarle First Bank (Charlottesville,VA)~Regional Banks 
